   t		   e1rho1	   e1rho2   	   e2rho1	   e2rho2	   e3rho1   	   e3rho2  	   e4rho1          e4rho2          e5rho1          e5rho2	   e6rho1	   e6rho2	   e7rho1	   e7rho2	   e8rho1	   e8rho2
   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.0000000e+00   5.0000000e-03   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.0000000e-03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.0000000e-03   0.0000000e+00   5.0000000e-03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   3.0000000e+00   9.9127496e-03   5.0498616e-05   0.0000000e+00   9.9750416e-05   9.8877496e-03   4.9251800e-05   9.9750416e-05   0.0000000e+00   0.0000000e+00   9.9502479e-03   0.0000000e+00   9.8502513e-03   0.0000000e+00   0.0000000e+00   9.9750416e-05   0.0000000e+00
   4.0000000e+00   1.4739993e-02   1.5096057e-04   0.0000000e+00   2.9479839e-04   1.4666460e-02   1.4482289e-04   2.9502614e-04   0.0000000e+00   0.0000000e+00   1.4849470e-02   0.0000000e+00   1.4556973e-02   0.0000000e+00   9.8015803e-07   2.9652611e-04   0.0000000e+00
   5.0000000e+00   1.9483409e-02   3.0081084e-04   0.0000000e+00   5.8093079e-04   1.9339260e-02   2.8389587e-04   5.8174228e-04   0.0000000e+00   0.0000000e+00   1.9696560e-02   0.0000000e+00   1.9126076e-02   0.0000000e+00   3.8356681e-06   5.8766371e-04   0.0000000e+00
   6.0000000e+00   2.4144613e-02   4.9943709e-04   0.0000000e+00   9.5415931e-04   2.3909202e-02   4.6376696e-04   9.5594965e-04   0.0000000e+00   0.0000000e+00   2.4490570e-02   0.0000000e+00   2.3563180e-02   0.0000000e+00   9.3815256e-06   9.7056028e-04   0.0000000e+00
   7.0000000e+00   2.8725164e-02   7.4619207e-04   0.0000000e+00   1.4107066e-03   2.8379257e-02   6.8184428e-04   1.4138304e-03   0.0000000e+00   0.0000000e+00   2.9230695e-02   0.0000000e+00   2.7873626e-02   0.0000000e+00   1.8357114e-05   1.4426721e-03   0.0000000e+00
   8.0000000e+00   3.3226564e-02   1.0403961e-03   0.0000000e+00   1.9469933e-03   3.2752320e-02   9.3564575e-04   1.9516939e-03   0.0000000e+00   0.0000000e+00   3.3916270e-02   0.0000000e+00   3.2062491e-02   0.0000000e+00   3.1430615e-05   2.0015132e-03   0.0000000e+00
   9.0000000e+00   3.7650266e-02   1.3813395e-03   0.0000000e+00   2.5596255e-03   3.7031208e-02   1.2227969e-03   2.5659726e-03   0.0000000e+00   0.0000000e+00   3.8546754e-02   0.0000000e+00   3.6134605e-02   0.0000000e+00   4.9203237e-05   2.6446544e-03   0.0000000e+00
   1.0000000e+01   4.1997674e-02   1.7682849e-03   0.0000000e+00   3.2453839e-03   4.1218664e-02   1.5410285e-03   3.2532181e-03   0.0000000e+00   0.0000000e+00   4.3121724e-02   0.0000000e+00   4.0094563e-02   0.0000000e+00   7.2213275e-05   3.3697221e-03   0.0000000e+00
   1.1000000e+01   4.6270145e-02   2.2004700e-03   0.0000000e+00   4.0012126e-03   4.5317357e-02   1.8881736e-03   4.0100975e-03   0.0000000e+00   0.0000000e+00   4.7640863e-02   0.0000000e+00   4.3946736e-02   0.0000000e+00   1.0093998e-04   4.1743965e-03   0.0000000e+00
   1.2000000e+01   5.0468998e-02   2.6771095e-03   0.0000000e+00   4.8242095e-03   4.9329884e-02   2.2621652e-03   4.8333897e-03   0.0000000e+00   0.0000000e+00   5.2103956e-02   0.0000000e+00   4.7695283e-02   0.0000000e+00   1.3580730e-04   5.0564115e-03   0.0000000e+00
   1.3000000e+01   5.4595508e-02   3.1973976e-03   0.0000000e+00   5.7116166e-03   5.3258767e-02   2.6610331e-03   5.7199817e-03   0.0000000e+00   0.0000000e+00   5.6510879e-02   0.0000000e+00   5.1344165e-02   0.0000000e+00   1.7718736e-04   6.0135525e-03   0.0000000e+00
   1.4000000e+01   5.8650916e-02   3.7605103e-03   0.0000000e+00   6.6608116e-03   5.7106462e-02   3.0829012e-03   6.6668656e-03   0.0000000e+00   0.0000000e+00   6.0861589e-02   0.0000000e+00   5.4897156e-02   0.0000000e+00   2.2540389e-04   7.0436561e-03   0.0000000e+00
   1.5000000e+01   6.2636426e-02   4.3656076e-03   0.0000000e+00   7.6692994e-03   6.0875353e-02   3.5259841e-03   7.6711350e-03   0.0000000e+00   0.0000000e+00   6.5156123e-02   0.0000000e+00   5.8357849e-02   0.0000000e+00   2.8073544e-04   8.1446083e-03   0.0000000e+00
   1.6000000e+01   6.6553209e-02   5.0118354e-03   0.0000000e+00   8.7347050e-03   6.4567755e-02   3.9885845e-03   8.7299819e-03   0.0000000e+00   0.0000000e+00   6.9394586e-02   0.0000000e+00   6.1729670e-02   0.0000000e+00   3.4341840e-04   9.3143442e-03   0.0000000e+00
   1.7000000e+01   7.0402408e-02   5.6983279e-03   0.0000000e+00   9.8547657e-03   6.8185921e-02   4.4690898e-03   9.8406937e-03   0.0000000e+00   0.0000000e+00   7.3577149e-02   0.0000000e+00   6.5015884e-02   0.0000000e+00   4.1364990e-04   1.0550846e-02   0.0000000e+00
   1.8000000e+01   7.4185134e-02   6.4242092e-03   0.0000000e+00   1.1027325e-02   7.1732034e-02   4.9659691e-03   1.1000650e-02   0.0000000e+00   0.0000000e+00   7.7704038e-02   0.0000000e+00   6.8219607e-02   0.0000000e+00   4.9159062e-04   1.1852143e-02   0.0000000e+00
   1.9000000e+01   7.7902470e-02   7.1885954e-03   0.0000000e+00   1.2250325e-02   7.5208216e-02   5.4777703e-03   1.2207320e-02   0.0000000e+00   0.0000000e+00   8.1775534e-02   0.0000000e+00   7.1343811e-02   0.0000000e+00   5.7736735e-04   1.3216311e-02   0.0000000e+00
